[2023-11-14T04:54:44.705+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: docker_cb.train_task manual__2023-11-14T04:54:43.338226+00:00 [queued]>
[2023-11-14T04:54:44.715+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: docker_cb.train_task manual__2023-11-14T04:54:43.338226+00:00 [queued]>
[2023-11-14T04:54:44.715+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2023-11-14T04:54:44.727+0000] {taskinstance.py:1380} INFO - Executing <Task(DockerOperator): train_task> on 2023-11-14 04:54:43.338226+00:00
[2023-11-14T04:54:44.731+0000] {standard_task_runner.py:57} INFO - Started process 153 to run task
[2023-11-14T04:54:44.734+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'docker_cb', 'train_task', 'manual__2023-11-14T04:54:43.338226+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/catboost/docker.py', '--cfg-path', '/tmp/tmpv12d24kl']
[2023-11-14T04:54:44.735+0000] {standard_task_runner.py:85} INFO - Job 18: Subtask train_task
[2023-11-14T04:54:44.777+0000] {task_command.py:415} INFO - Running <TaskInstance: docker_cb.train_task manual__2023-11-14T04:54:43.338226+00:00 [running]> on host 184a7c5917fb
[2023-11-14T04:54:44.849+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='docker_cb' AIRFLOW_CTX_TASK_ID='train_task' AIRFLOW_CTX_EXECUTION_DATE='2023-11-14T04:54:43.338226+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-11-14T04:54:43.338226+00:00'
[2023-11-14T04:54:44.918+0000] {docker.py:337} INFO - Starting docker container from image dunghoang99/***-cb-stage:0.0.1
[2023-11-14T04:54:44.966+0000] {docker.py:345} WARNING - Using remote engine or docker-in-docker and mounting temporary volume from host is not supported. Falling back to `mount_tmp_dir=False` mode. You can set `mount_tmp_dir` parameter to False to disable mounting and remove the warning
[2023-11-14T04:54:46.469+0000] {docker.py:406} INFO - Data train: X_train shape (10099, 8), y_train shape (10099,)
Data test: X_test shape (1123, 8), y_test shape (1123,)
0:	learn: 0.6923545	total: 77ms	remaining: 1m 16s
1:	learn: 0.6913143	total: 80.7ms	remaining: 40.3s
2:	learn: 0.6906878	total: 83.9ms	remaining: 27.9s
3:	learn: 0.6900529	total: 87.3ms	remaining: 21.7s
4:	learn: 0.6897233	total: 89.2ms	remaining: 17.7s
5:	learn: 0.6892247	total: 93.6ms	remaining: 15.5s
6:	learn: 0.6885198	total: 95.5ms	remaining: 13.5s
7:	learn: 0.6880513	total: 98.9ms	remaining: 12.3s
8:	learn: 0.6877893	total: 101ms	remaining: 11.1s
9:	learn: 0.6875833	total: 104ms	remaining: 10.3s
10:	learn: 0.6872280	total: 106ms	remaining: 9.49s
11:	learn: 0.6868182	total: 107ms	remaining: 8.83s
12:	learn: 0.6862553	total: 109ms	remaining: 8.27s
13:	learn: 0.6859891	total: 111ms	remaining: 7.79s
14:	learn: 0.6857149	total: 112ms	remaining: 7.37s
15:	learn: 0.6855171	total: 114ms	remaining: 6.99s
16:	learn: 0.6855153	total: 115ms	remaining: 6.63s
17:	learn: 0.6852749	total: 116ms	remaining: 6.35s
18:	learn: 0.6851199	total: 118ms	remaining: 6.1s
19:	learn: 0.6848347	total: 120ms	remaining: 5.87s
20:	learn: 0.6846181	total: 122ms	remaining: 5.67s
21:	learn: 0.6843719	total: 124ms	remaining: 5.49s
22:	learn: 0.6839465	total: 125ms	remaining: 5.33s
23:	learn: 0.6836066	total: 127ms	remaining: 5.17s
24:	learn: 0.6834304	total: 129ms	remaining: 5.03s
25:	learn: 0.6832733	total: 130ms	remaining: 4.88s
26:	learn: 0.6830688	total: 135ms	remaining: 4.85s
27:	learn: 0.6829331	total: 136ms	remaining: 4.73s
28:	learn: 0.6825356	total: 138ms	remaining: 4.62s
29:	learn: 0.6823513	total: 140ms	remaining: 4.51s
30:	learn: 0.6821528	total: 143ms	remaining: 4.47s
31:	learn: 0.6819569	total: 145ms	remaining: 4.37s
32:	learn: 0.6817422	total: 146ms	remaining: 4.29s
33:	learn: 0.6813849	total: 148ms	remaining: 4.2s
34:	learn: 0.6811909	total: 150ms	remaining: 4.13s
35:	learn: 0.6810236	total: 152ms	remaining: 4.06s
36:	learn: 0.6808135	total: 153ms	remaining: 3.99s
37:	learn: 0.6805637	total: 155ms	remaining: 3.92s
38:	learn: 0.6801210	total: 157ms	remaining: 3.86s
39:	learn: 0.6800493	total: 158ms	remaining: 3.79s
40:	learn: 0.6800143	total: 160ms	remaining: 3.74s
41:	learn: 0.6798275	total: 162ms	remaining: 3.69s
42:	learn: 0.6796377	total: 163ms	remaining: 3.63s
43:	learn: 0.6795499	total: 165ms	remaining: 3.58s
44:	learn: 0.6794253	total: 167ms	remaining: 3.54s
45:	learn: 0.6793035	total: 169ms	remaining: 3.5s
46:	learn: 0.6789688	total: 171ms	remaining: 3.46s
47:	learn: 0.6789078	total: 172ms	remaining: 3.42s
48:	learn: 0.6787898	total: 174ms	remaining: 3.38s
49:	learn: 0.6786445	total: 176ms	remaining: 3.34s
50:	learn: 0.6785399	total: 178ms	remaining: 3.3s
51:	learn: 0.6783132	total: 179ms	remaining: 3.27s
52:	learn: 0.6781841	total: 182ms	remaining: 3.25s
53:	learn: 0.6779797	total: 184ms	remaining: 3.23s
54:	learn: 0.6777721	total: 188ms	remaining: 3.23s
55:	learn: 0.6776195	total: 192ms	remaining: 3.24s
56:	learn: 0.6774137	total: 194ms	remaining: 3.2s
57:	learn: 0.6771868	total: 196ms	remaining: 3.18s
58:	learn: 0.6770286	total: 197ms	remaining: 3.15s
59:	learn: 0.6768593	total: 199ms	remaining: 3.12s
60:	learn: 0.6766314	total: 204ms	remaining: 3.13s
61:	learn: 0.6764341	total: 205ms	remaining: 3.11s
62:	learn: 0.6762894	total: 207ms	remaining: 3.08s
63:	learn: 0.6762179	total: 209ms	remaining: 3.05s
64:	learn: 0.6761877	total: 210ms	remaining: 3.02s
65:	learn: 0.6760788	total: 212ms	remaining: 2.99s
66:	learn: 0.6759794	total: 213ms	remaining: 2.97s
67:	learn: 0.6757549	total: 215ms	remaining: 2.95s
68:	learn: 0.6756725	total: 217ms	remaining: 2.93s
69:	learn: 0.6755437	total: 219ms	remaining: 2.91s
70:	learn: 0.6754571	total: 221ms	remaining: 2.89s
71:	learn: 0.6754200	total: 222ms	remaining: 2.86s
72:	learn: 0.6753029	total: 224ms	remaining: 2.84s
73:	learn: 0.6751809	total: 225ms	remaining: 2.82s
74:	learn: 0.6750787	total: 227ms	remaining: 2.8s
75:	learn: 0.6748238	total: 229ms	remaining: 2.78s
76:	learn: 0.6747360	total: 231ms	remaining: 2.76s
77:	learn: 0.6746475	total: 232ms	remaining: 2.75s
78:	learn: 0.6744962	total: 234ms	remaining: 2.73s
79:	learn: 0.6743493	total: 236ms	remaining: 2.71s
80:	learn: 0.6742165	total: 237ms	remaining: 2.69s
81:	learn: 0.6741563	total: 239ms	remaining: 2.68s
82:	learn: 0.6739410	total: 241ms	remaining: 2.66s
83:	learn: 0.6738319	total: 242ms	remaining: 2.64s
84:	learn: 0.6737218	total: 244ms	remaining: 2.63s
85:	learn: 0.6736046	total: 246ms	remaining: 2.61s
