[2023-11-13T06:57:53.179+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: docker_cb.train_task manual__2023-11-13T06:57:51.880969+00:00 [queued]>
[2023-11-13T06:57:53.187+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: docker_cb.train_task manual__2023-11-13T06:57:51.880969+00:00 [queued]>
[2023-11-13T06:57:53.187+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2023-11-13T06:57:53.198+0000] {taskinstance.py:1380} INFO - Executing <Task(DockerOperator): train_task> on 2023-11-13 06:57:51.880969+00:00
[2023-11-13T06:57:53.202+0000] {standard_task_runner.py:57} INFO - Started process 73 to run task
[2023-11-13T06:57:53.206+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'docker_cb', 'train_task', 'manual__2023-11-13T06:57:51.880969+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/catboost/docker.py', '--cfg-path', '/tmp/tmpfqxifx00']
[2023-11-13T06:57:53.208+0000] {standard_task_runner.py:85} INFO - Job 11: Subtask train_task
[2023-11-13T06:57:53.250+0000] {task_command.py:415} INFO - Running <TaskInstance: docker_cb.train_task manual__2023-11-13T06:57:51.880969+00:00 [running]> on host aeca72838768
[2023-11-13T06:57:53.323+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='docker_cb' AIRFLOW_CTX_TASK_ID='train_task' AIRFLOW_CTX_EXECUTION_DATE='2023-11-13T06:57:51.880969+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-11-13T06:57:51.880969+00:00'
[2023-11-13T06:57:53.403+0000] {docker.py:337} INFO - Starting docker container from image dunghoang99/***-cb-stage:0.0.1
[2023-11-13T06:57:53.414+0000] {docker.py:345} WARNING - Using remote engine or docker-in-docker and mounting temporary volume from host is not supported. Falling back to `mount_tmp_dir=False` mode. You can set `mount_tmp_dir` parameter to False to disable mounting and remove the warning
[2023-11-13T06:57:55.593+0000] {docker.py:406} INFO - Data train: X_train shape (10099, 8), y_train shape (10099,)
Data test: X_test shape (1123, 8), y_test shape (1123,)
0:	learn: 0.6923545	total: 50.4ms	remaining: 50.3s
1:	learn: 0.6913143	total: 52.6ms	remaining: 26.3s
2:	learn: 0.6906878	total: 55ms	remaining: 18.3s
3:	learn: 0.6900529	total: 57.7ms	remaining: 14.4s
4:	learn: 0.6897233	total: 60ms	remaining: 11.9s
5:	learn: 0.6892247	total: 62.8ms	remaining: 10.4s
6:	learn: 0.6885198	total: 64.8ms	remaining: 9.19s
7:	learn: 0.6880513	total: 67ms	remaining: 8.31s
8:	learn: 0.6877893	total: 69.3ms	remaining: 7.63s
9:	learn: 0.6875833	total: 71.1ms	remaining: 7.04s
10:	learn: 0.6872280	total: 73ms	remaining: 6.56s
11:	learn: 0.6868182	total: 76.2ms	remaining: 6.28s
12:	learn: 0.6862553	total: 78.2ms	remaining: 5.94s
13:	learn: 0.6859891	total: 80.5ms	remaining: 5.67s
14:	learn: 0.6857149	total: 83ms	remaining: 5.45s
15:	learn: 0.6855171	total: 84.8ms	remaining: 5.22s
16:	learn: 0.6855153	total: 86ms	remaining: 4.97s
17:	learn: 0.6852749	total: 88.3ms	remaining: 4.82s
18:	learn: 0.6851199	total: 90.5ms	remaining: 4.67s
19:	learn: 0.6848347	total: 92.5ms	remaining: 4.53s
20:	learn: 0.6846181	total: 94.4ms	remaining: 4.4s
21:	learn: 0.6843719	total: 96.6ms	remaining: 4.29s
22:	learn: 0.6839465	total: 98.8ms	remaining: 4.2s
23:	learn: 0.6836066	total: 101ms	remaining: 4.1s
24:	learn: 0.6834304	total: 103ms	remaining: 4.02s
25:	learn: 0.6832733	total: 105ms	remaining: 3.92s
26:	learn: 0.6830688	total: 107ms	remaining: 3.85s
27:	learn: 0.6829331	total: 109ms	remaining: 3.78s
28:	learn: 0.6825356	total: 111ms	remaining: 3.71s
29:	learn: 0.6823513	total: 113ms	remaining: 3.64s
30:	learn: 0.6821528	total: 115ms	remaining: 3.58s
31:	learn: 0.6819569	total: 117ms	remaining: 3.53s
32:	learn: 0.6817422	total: 118ms	remaining: 3.47s
33:	learn: 0.6813849	total: 120ms	remaining: 3.42s
34:	learn: 0.6811909	total: 122ms	remaining: 3.37s
35:	learn: 0.6810236	total: 124ms	remaining: 3.32s
36:	learn: 0.6808135	total: 126ms	remaining: 3.27s
37:	learn: 0.6805637	total: 127ms	remaining: 3.23s
38:	learn: 0.6801210	total: 129ms	remaining: 3.18s
